,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,Unlabeled 2027,Unlabeled 2027,Unlabeled 2027,Unlabeled 2028,Unlabeled 2028,Unlabeled 2028,Unlabeled 2031,Unlabeled 2031,Unlabeled 2031,Unlabeled 2038,Unlabeled 2038,Unlabeled 2038,Unlabeled 2039,Unlabeled 2039,Unlabeled 2039,Unlabeled 2045,Unlabeled 2045,Unlabeled 2045,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker3,radar_group6:Marker3,radar_group6:Marker3
,ID,"46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","113130","113130","113130","113060","113060","113060","113180","113180","113180","113200","113200","113200","113210","113210","113210","113420","113420","113420","113100","113100","113100","1130F0","1130F0","1130F0","917C27FBAE5211E97C158CA05683D95","917C27FBAE5211E97C158CA05683D95","917C27FBAE5211E97C158CA05683D95"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.050000,0.000838,0.002677,-0.001626,-0.999995,-5.052361,1.795031,0.662011,,,,,,,,,,,,,,,,,,,-4.954842,1.786177,0.782269,-4.958349,1.786338,0.543689,-5.242405,1.813481,0.660041
19,0.052778,0.000856,0.002292,-0.001732,-0.999996,-5.052315,1.795022,0.662127,,,,,,,,,,,,,,,,,,,-4.954834,1.786190,0.782222,-4.958344,1.786358,0.543699,-5.242365,1.813431,0.660303
20,0.055556,0.002001,0.002633,-0.000194,-0.999995,-5.052133,1.795080,0.662052,,,,,,,,,,,,,,,,,,,-4.954813,1.786209,0.782269,-4.958337,1.786295,0.543694,-5.242124,1.814070,0.660055
21,0.058333,0.000860,0.002405,-0.001372,-0.999996,-5.052242,1.795110,0.662229,,,,,,,,,,,,,,,,,,,-4.954826,1.786259,0.782287,-4.958424,1.786457,0.543927,-5.242279,1.813656,0.660362
22,0.061111,0.002113,0.002757,-0.000261,-0.999994,-5.052121,1.795063,0.662076,,,,,,,,,,,,,,,,,,,-4.954798,1.786303,0.782289,-4.958334,1.786283,0.543721,-5.242114,1.814027,0.660028
23,0.063889,0.001636,0.003002,-0.000649,-0.999994,-5.052187,1.795036,0.661921,,,,,,,,,,,,,,,,,,,-4.954746,1.786339,0.782354,-4.958373,1.786441,0.543664,-5.242194,1.813854,0.659797
24,0.066667,0.001920,0.002554,-0.000919,-0.999994,-5.052226,1.794937,0.662079,,,,,,,,,,,,,,,,,,,-4.954823,1.786249,0.782318,-4.958361,1.786333,0.543661,-5.242245,1.813651,0.660115
25,0.069444,0.001064,0.002608,-0.000739,-0.999996,-5.052226,1.795114,0.662099,,,,,,,,,,,,,,,,,,,-4.954817,1.786249,0.782351,-4.958333,1.786316,0.543682,-5.242238,1.813900,0.660147
26,0.072222,0.001904,0.003010,-0.001018,-0.999993,-5.052236,1.794894,0.661992,,,,,,,,,,,,,,,,,,,-4.954814,1.786192,0.782309,-4.958339,1.786314,0.543674,-5.242256,1.813571,0.659855
27,0.075000,0.001594,0.002668,-0.001146,-0.999995,-5.052245,1.794963,0.662143,,,,,,,,,,,,,,,,,,,-4.954820,1.786266,0.782297,-4.958445,1.786437,0.543909,-5.242271,1.813593,0.660148
