Format Version,1.23,Take Name,group6_trial_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-24 04.17.24.871 PM,Total Frames in Take,1827,Total Exported Frames,1827,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,-0.005619,-0.526434,-0.129725,0.840243,2.329613,0.039382,1.038482,-5.240551,1.812327,0.665001,-4.954916,1.784829,0.785311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193169,0.043903,1.276747,2.355469,0.038851,0.994596,2.442402,0.035227,0.845362
7,0.019444,-0.031819,-0.066238,-0.994680,0.072190,2.328663,0.039939,1.037949,-5.240576,1.812331,0.664979,,,,-4.958843,1.784489,0.547913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189022,0.046739,1.274610,2.355373,0.039202,0.994865,2.441271,0.035659,0.842441
8,0.022222,-0.032320,-0.048494,-0.997365,0.043216,2.328718,0.040166,1.037944,,,,-4.954904,1.784769,0.785359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189749,0.046359,1.274790,2.355472,0.038816,0.994551,2.441284,0.035693,0.842417
9,0.025000,-0.004869,-0.528499,-0.094003,0.843700,2.329303,0.039278,1.038407,,,,-4.956311,1.780736,0.782339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193236,0.043771,1.276688,2.352859,0.038979,0.994249,2.442361,0.035167,0.845361
10,0.027778,-0.006077,-0.525757,-0.142119,0.838656,2.329564,0.039385,1.038438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193137,0.043890,1.276725,2.355534,0.038785,0.994527,2.442382,0.035228,0.845317
11,0.030556,-0.033478,-0.029006,-0.998929,0.013382,2.328229,0.040419,1.037695,,,,-4.954053,1.781710,0.784659,-4.958864,1.784447,0.547900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189749,0.046341,1.275040,2.352847,0.038939,0.994305,2.439458,0.037712,0.842741
12,0.033333,-0.012796,-0.510476,-0.300310,0.805645,2.328568,0.040242,1.037785,,,,-4.954928,1.786431,0.782738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189390,0.045743,1.274917,2.353057,0.040268,0.994004,2.441279,0.035693,0.842438
13,0.036111,0.005793,-0.516765,0.186336,0.835583,2.328998,0.039552,1.037997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193300,0.044139,1.276772,2.353854,0.039103,0.992351,2.441242,0.035635,0.842461
14,0.038889,-0.001113,-0.529008,-0.007468,0.848583,2.329411,0.039417,1.038339,,,,-4.954721,1.786547,0.783216,-4.958859,1.784556,0.547895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193163,0.043806,1.276670,2.353907,0.039046,0.992265,2.442360,0.035206,0.845382
15,0.041667,-0.032147,-0.033864,-0.998708,0.020028,2.328766,0.040215,1.037981,-5.240579,1.812241,0.665016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.189731,0.046276,1.274832,2.355496,0.038799,0.994564,2.441298,0.035680,0.842467
