,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,left_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,right_reflector,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,right_reflector:Marker1,right_reflector:Marker1,right_reflector:Marker1,right_reflector:Marker2,right_reflector:Marker2,right_reflector:Marker2,right_reflector:Marker3,right_reflector:Marker3,right_reflector:Marker3
,ID,"210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","210201CFB48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","6343BDF9B48C11E97C158CA05683E95","CEDD0","CEDD0","CEDD0","CEAA0","CEAA0","CEAA0","CEAB0","CEAB0","CEAB0","CEA90","CEA90","CEA90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0.055556,,,,,,,,-0.000814,0.000008,0.002013,-0.999998,3.317496,0.006433,0.956044,,,,3.303625,-0.000682,0.750447,3.476100,0.013816,0.931412,3.170519,0.007314,1.187240
21,0.058333,,,,,,,,-0.002542,0.000760,0.003944,-0.999989,3.317966,0.006683,0.956047,3.176522,0.006853,0.942910,3.303609,-0.000583,0.750493,3.477028,0.013217,0.931763,3.170485,0.007514,1.187407
22,0.061111,,,,,,,,-0.003554,0.001398,0.005989,-0.999975,3.318144,0.006319,0.956210,3.176429,0.007178,0.943034,3.303669,-0.000672,0.750536,3.478202,0.011175,0.931927,3.170482,0.007221,1.187321
23,0.063889,,,,,,,,-0.002612,0.000799,0.003857,-0.999989,3.317958,0.006636,0.956072,3.176434,0.007276,0.942905,3.303554,-0.000738,0.750609,3.476995,0.013250,0.931861,3.170472,0.007409,1.187388
24,0.066667,,,,,,,,-0.001738,0.000539,0.003670,-0.999992,3.317645,0.006815,0.956022,3.176633,0.008037,0.943018,3.303662,-0.000566,0.750602,3.476027,0.013874,0.931469,3.170341,0.007588,1.187401
25,0.069444,,,,,,,,-0.005175,0.001649,0.006635,-0.999963,3.318260,0.007111,0.956020,,,,3.304742,0.002772,0.748682,3.476856,0.013312,0.931876,3.170567,0.007364,1.187358
26,0.072222,,,,,,,,-0.004066,0.001654,0.005958,-0.999973,3.318485,0.006648,0.956486,3.176491,0.007906,0.942990,3.305025,0.001783,0.749514,3.478405,0.012173,0.932407,3.170583,0.007317,1.187347
27,0.075000,,,,,,,,-0.002952,0.000885,0.003601,-0.999989,3.318072,0.006743,0.956068,3.176356,0.007119,0.942912,3.303599,-0.000595,0.750528,3.478081,0.012335,0.931616,3.170453,0.007434,1.187355
28,0.077778,,,,,,,,-0.003644,0.001276,0.005091,-0.999980,3.317963,0.007035,0.956189,3.176291,0.007196,0.942944,3.304708,0.002807,0.748720,3.475979,0.013968,0.931587,3.170521,0.007381,1.187330
29,0.080556,,,,,,,,-0.002540,0.000765,0.004104,-0.999988,3.317970,0.006470,0.956001,3.176404,0.007106,0.943012,3.303581,-0.000714,0.750528,3.477198,0.012889,0.931676,3.172421,0.006813,1.185972
