,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,radar_group6,Unlabeled 1968,Unlabeled 1968,Unlabeled 1968,Unlabeled 1969,Unlabeled 1969,Unlabeled 1969,Unlabeled 1970,Unlabeled 1970,Unlabeled 1970,Unlabeled 1971,Unlabeled 1971,Unlabeled 1971,Unlabeled 1974,Unlabeled 1974,Unlabeled 1974,Unlabeled 1976,Unlabeled 1976,Unlabeled 1976,Unlabeled 1978,Unlabeled 1978,Unlabeled 1978,Unlabeled 1979,Unlabeled 1979,Unlabeled 1979,Unlabeled 1980,Unlabeled 1980,Unlabeled 1980,Unlabeled 1981,Unlabeled 1981,Unlabeled 1981,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker1,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker2,radar_group6:Marker3,radar_group6:Marker3,radar_group6:Marker3
,ID,"46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","46215594AE5011E97C158CA05683D95","112BA0","112BA0","112BA0","112BD0","112BD0","112BD0","112870","112870","112870","112BC0","112BC0","112BC0","112C20","112C20","112C20","112C40","112C40","112C40","112C60","112C60","112C60","112C70","112C70","112C70","112CB0","112CB0","112CB0","112CD0","112CD0","112CD0","112620","112620","112620","112650","112650","112650","18EEFB02AE5111E97C158CA05683D95","18EEFB02AE5111E97C158CA05683D95","18EEFB02AE5111E97C158CA05683D95"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
14,0.038889,0.001257,0.000184,-0.001579,-0.999998,-5.051387,1.793763,0.666577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954608,1.784784,0.786042,-4.958871,1.791286,0.545224,-5.241438,1.812230,0.665539
15,0.041667,0.000139,-0.003170,-0.007512,-0.999967,-5.051540,1.792911,0.667475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954552,1.784729,0.786040,-4.958555,1.783931,0.547706,-5.241405,1.808366,0.668041
16,0.044444,-0.003234,-0.002397,-0.010476,-0.999937,-5.051357,1.793282,0.667498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954577,1.784765,0.786025,-4.958347,1.785077,0.549029,-5.241709,1.808370,0.667600
17,0.047222,-0.002278,-0.003203,-0.009688,-0.999945,-5.051444,1.793113,0.667648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954575,1.784746,0.786049,-4.958836,1.791243,0.545235,-5.241771,1.808499,0.668024
18,0.050000,0.000548,-0.002501,-0.007617,-0.999968,-5.051226,1.792963,0.667531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954586,1.784781,0.786072,-4.958310,1.784097,0.547502,-5.241488,1.809136,0.667542
19,0.052778,0.000487,-0.002873,-0.007536,-0.999967,-5.051334,1.792962,0.667442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954570,1.784754,0.785975,-4.958541,1.783896,0.547728,-5.241594,1.809165,0.667597
20,0.055556,0.001085,-0.002141,-0.007511,-0.999969,-5.051447,1.793174,0.667144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954588,1.784741,0.786006,-4.958836,1.791297,0.545182,-5.241706,1.809387,0.667000
21,0.058333,0.000304,-0.002429,-0.008108,-0.999964,-5.051316,1.792871,0.667409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954617,1.784795,0.785994,-4.958304,1.784084,0.547447,-5.241594,1.808857,0.667402
22,0.061111,0.000621,-0.003395,-0.008544,-0.999958,-5.051247,1.792751,0.667765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954577,1.784711,0.785972,-4.958870,1.791255,0.545211,-5.241539,1.808571,0.668114
23,0.063889,0.001420,-0.003447,-0.007422,-0.999966,-5.051431,1.792686,0.667688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954604,1.784742,0.786026,-4.958308,1.784063,0.547443,-5.241562,1.808293,0.668428
24,0.066667,-0.001285,-0.000757,-0.002913,-0.999995,-5.051419,1.794153,0.666862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954553,1.784827,0.786024,-4.958582,1.786105,0.549745,-5.240752,1.812739,0.666733
25,0.069444,-0.002026,-0.000290,-0.003118,-0.999993,-5.051377,1.794417,0.666647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954306,1.784457,0.786313,-4.958830,1.791266,0.545187,-5.241485,1.812304,0.665912
26,0.072222,-0.002887,-0.000219,-0.003738,-0.999989,-5.051610,1.794324,0.666688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954574,1.784801,0.786004,-4.958182,1.782375,0.548607,-5.241739,1.811977,0.665957
27,0.075000,-0.007536,-0.001552,-0.005508,-0.999955,-5.051628,1.795091,0.666554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954591,1.784775,0.785998,-4.958815,1.791299,0.545177,-5.241161,1.812593,0.667032
28,0.077778,-0.001229,-0.000713,-0.002718,-0.999995,-5.051408,1.794209,0.666852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954547,1.784865,0.786052,-4.958583,1.786099,0.549704,-5.240746,1.812861,0.666652
29,0.080556,0.001426,-0.002399,-0.007794,-0.999966,-5.051330,1.792601,0.667382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954594,1.784743,0.786021,-4.958263,1.784024,0.547475,-5.241159,1.808374,0.668505
30,0.083333,-0.002454,-0.000727,-0.002440,-0.999994,-5.051331,1.794048,0.666929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954320,1.784391,0.786284,-4.958364,1.785131,0.549042,-5.240788,1.812815,0.666666
31,0.086111,-0.003414,-0.000686,-0.004042,-0.999986,-5.051589,1.794360,0.666814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954582,1.784739,0.786031,-4.958561,1.783921,0.547709,-5.241730,1.811898,0.666279
32,0.088889,-0.008024,-0.001550,-0.005575,-0.999951,-5.051404,1.794862,0.666620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954360,1.784436,0.786247,-4.958863,1.791242,0.545200,-5.240746,1.812764,0.666669
33,0.091667,-0.007698,-0.001998,-0.009285,-0.999925,-5.051645,1.794375,0.666611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954578,1.784737,0.786010,-4.958280,1.783833,0.547928,-5.241959,1.809919,0.666716
34,0.094444,-0.008447,-0.001282,-0.005289,-0.999950,-5.051493,1.794943,0.666556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954320,1.784391,0.786275,-4.958825,1.791259,0.545245,-5.240774,1.812710,0.666730
35,0.097222,-0.003464,-0.000541,-0.003805,-0.999987,-5.051571,1.794398,0.666810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954572,1.784736,0.786012,-4.958517,1.783878,0.547765,-5.241704,1.812027,0.666222
36,0.100000,0.001977,-0.000075,-0.000915,-0.999998,-5.051255,1.793728,0.666591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954557,1.784792,0.786087,-4.958032,1.782008,0.548469,-5.241282,1.812446,0.665624
37,0.102778,0.003197,-0.000754,-0.001189,-0.999994,-5.051476,1.793390,0.666688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954549,1.784811,0.786053,-4.958289,1.783989,0.547477,-5.241514,1.812002,0.665934
38,0.105556,-0.000755,0.000243,-0.002172,-0.999997,-5.051350,1.794131,0.666541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954574,1.784800,0.786003,-4.958385,1.785188,0.549057,-5.241422,1.812376,0.665556
39,0.108333,0.000101,0.000042,-0.003531,-0.999994,-5.051276,1.794820,0.666493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954532,1.784798,0.786029,-4.958923,1.790978,0.545835,-5.241397,1.812547,0.665552
40,0.111111,0.001445,-0.003075,-0.006817,-0.999971,-5.051655,1.792748,0.667220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954600,1.784757,0.786025,-4.958572,1.783905,0.547723,-5.241380,1.808247,0.668090
41,0.113889,-0.000883,-0.002449,-0.009122,-0.999955,-5.051093,1.792629,0.667521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954293,1.784432,0.786288,-4.958549,1.786107,0.549723,-5.241403,1.808230,0.667562
42,0.116667,-0.000070,-0.002542,-0.008344,-0.999962,-5.051254,1.792520,0.667600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954340,1.784391,0.786276,-4.959017,1.791628,0.544740,-5.241539,1.808416,0.667648
43,0.119444,-0.000900,-0.000902,-0.001667,-0.999998,-5.051324,1.793780,0.666831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954361,1.784329,0.786244,-4.958529,1.783894,0.547733,-5.240721,1.812792,0.666696
44,0.122222,-0.000818,-0.000426,-0.001455,-0.999999,-5.051302,1.793849,0.666683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954308,1.784409,0.786302,-4.958524,1.783925,0.547733,-5.241349,1.812367,0.665955
45,0.125000,-0.007729,-0.001223,-0.005575,-0.999954,-5.051599,1.795167,0.666432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954589,1.784829,0.786074,-4.958853,1.791247,0.545210,-5.240728,1.812843,0.666613
46,0.127778,-0.000985,-0.000312,-0.001840,-0.999998,-5.051182,1.793860,0.666955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.954317,1.784444,0.786291,-4.958200,1.785351,0.549713,-5.240753,1.812752,0.666637
