Format Version,1.23,Take Name,team6_final_trial_003,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-08-04 10.40.44.031 AM,Total Frames in Take,9988,Total Exported Frames,9988,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.016667,0.019482,-0.017721,-0.001325,0.999652,1.804928,1.046759,3.997757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.896936,1.049481,4.028594,1.813067,1.047396,3.952502,1.705578,1.043046,4.010939
7,0.019444,0.018820,-0.017937,-0.000761,0.999662,1.804945,1.046807,3.997766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897987,1.047061,4.029635,1.813033,1.047448,3.952514,1.705593,1.043002,4.010908
8,0.022222,0.022817,-0.017704,-0.002846,0.999579,1.805067,1.046562,3.997761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.898005,1.047089,4.029580,1.813094,1.047444,3.952523,1.705707,1.043050,4.010926
9,0.025000,0.021011,-0.018445,-0.002699,0.999605,1.805072,1.047026,3.998154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.898012,1.047113,4.029610,1.812089,1.048023,3.952914,1.705348,1.042969,4.010865
10,0.027778,0.022306,-0.017664,-0.003793,0.999588,1.805204,1.046511,3.997907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897965,1.047119,4.029633,1.813059,1.047327,3.952527,1.705840,1.043202,4.011088
11,0.030556,0.020659,-0.017654,-0.002595,0.999627,1.804990,1.046765,3.997779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897957,1.047064,4.029622,1.813092,1.047460,3.952478,1.705633,1.043268,4.010970
12,0.033333,0.023081,-0.017663,-0.004003,0.999570,1.805006,1.046411,3.997799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897968,1.047230,4.029646,1.812982,1.047254,3.952533,1.705344,1.043014,4.010920
13,0.036111,0.022713,-0.016548,-0.006209,0.999586,1.804951,1.046453,3.997790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897961,1.047035,4.029630,1.812982,1.047314,3.952486,1.705329,1.042981,4.010875
14,0.038889,0.024943,-0.017009,-0.004395,0.999534,1.804992,1.046334,3.997693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897949,1.047227,4.029633,1.813027,1.047415,3.952496,1.705641,1.043063,4.010987
15,0.041667,0.024640,-0.017204,-0.004519,0.999538,1.805014,1.046456,3.997708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897954,1.047047,4.029628,1.813018,1.047498,3.952511,1.705657,1.043219,4.010966
16,0.044444,0.025069,-0.017187,-0.004253,0.999529,1.805002,1.046359,3.997708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897962,1.047007,4.029651,1.813007,1.047456,3.952482,1.705648,1.043056,4.010965
17,0.047222,0.025801,-0.017011,-0.004150,0.999514,1.805031,1.046343,3.997706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897987,1.046976,4.029569,1.813105,1.047471,3.952498,1.705682,1.042998,4.010993
18,0.050000,0.022053,-0.017665,-0.002365,0.999598,1.804976,1.046664,3.997763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897972,1.047098,4.029634,1.813024,1.047502,3.952512,1.705621,1.043080,4.010940
19,0.052778,0.023172,-0.017804,-0.001710,0.999572,1.804977,1.046752,3.997810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897954,1.047093,4.029624,1.811937,1.047957,3.952566,1.705623,1.043005,4.010947
20,0.055556,0.020161,-0.018997,-0.001603,0.999615,1.805073,1.046781,3.997991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897981,1.047157,4.029633,1.813078,1.047461,3.952514,1.705688,1.043108,4.010915
21,0.058333,0.019549,-0.019647,-0.001245,0.999615,1.805222,1.046741,3.998129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897955,1.046849,4.029594,1.813077,1.047488,3.952527,1.705822,1.043018,4.010927
22,0.061111,0.022141,-0.017964,-0.002223,0.999591,1.805034,1.046597,3.997792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897984,1.047040,4.029639,1.813005,1.047376,3.952483,1.705672,1.042983,4.010908
23,0.063889,0.020713,-0.017851,-0.002475,0.999623,1.804959,1.046677,3.997756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897963,1.047034,4.029631,1.813129,1.047355,3.952531,1.705598,1.043155,4.010907
24,0.066667,0.022530,-0.016622,-0.005755,0.999591,1.804964,1.046491,3.997782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897998,1.047182,4.029626,1.813044,1.047380,3.952492,1.705350,1.042930,4.010895
25,0.069444,0.023921,-0.017246,-0.004832,0.999554,1.804999,1.046391,3.997675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897967,1.047109,4.029624,1.813042,1.047407,3.952517,1.705639,1.043238,4.010931
26,0.072222,0.023053,-0.017568,-0.004255,0.999571,1.805007,1.046372,3.997748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897994,1.047218,4.029634,1.812944,1.047306,3.952458,1.705643,1.043132,4.010945
27,0.075000,0.019409,-0.018523,-0.002048,0.999638,1.805013,1.046762,3.997922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897953,1.047067,4.029578,1.813043,1.047434,3.952521,1.705637,1.043198,4.010947
28,0.077778,0.017305,-0.018940,-0.000941,0.999670,1.805051,1.046891,3.997985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897955,1.047034,4.029618,1.813065,1.047313,3.952493,1.705672,1.043171,4.010940
29,0.080556,0.024113,-0.017443,-0.003650,0.999550,1.805007,1.046490,3.997696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897978,1.046921,4.029658,1.813028,1.047435,3.952501,1.705649,1.043098,4.010907
30,0.083333,0.022455,-0.016597,-0.005615,0.999594,1.804981,1.046494,3.997806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897978,1.047174,4.029632,1.813099,1.047381,3.952491,1.705360,1.042899,4.010883
31,0.086111,0.018445,-0.019456,-0.002294,0.999638,1.804974,1.046863,3.997825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.898015,1.047161,4.029625,1.813050,1.047457,3.952529,1.705572,1.043379,4.010673
32,0.088889,0.023251,-0.018009,-0.000961,0.999567,1.805052,1.046899,3.997869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897941,1.047023,4.029574,1.812029,1.048120,3.952628,1.705697,1.043002,4.010962
33,0.091667,0.020584,-0.018329,-0.001287,0.999619,1.805166,1.046686,3.997870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897983,1.047065,4.029634,1.813061,1.047423,3.952479,1.705800,1.042934,4.010922
34,0.094444,0.020209,-0.018008,-0.001420,0.999633,1.805112,1.046807,3.997870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897964,1.047064,4.029607,1.813048,1.047445,3.952535,1.705754,1.043092,4.010989
35,0.097222,0.025423,-0.017486,-0.004017,0.999516,1.805125,1.046386,3.997798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897957,1.047150,4.029667,1.813038,1.047493,3.952543,1.705765,1.043027,4.010992
36,0.100000,0.025208,-0.017062,-0.004269,0.999528,1.804981,1.046392,3.997684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897934,1.047119,4.029607,1.813006,1.047520,3.952492,1.705630,1.043088,4.010965
37,0.102778,0.023611,-0.017182,-0.004374,0.999564,1.805000,1.046309,3.997668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897974,1.046993,4.029631,1.812908,1.047249,3.952488,1.705645,1.043074,4.010938
38,0.105556,0.021494,-0.017594,-0.002517,0.999611,1.804969,1.046602,3.997719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897985,1.047035,4.029565,1.813043,1.047365,3.952500,1.705615,1.043065,4.010914
39,0.108333,0.018729,-0.018279,-0.000998,0.999657,1.804925,1.046804,3.997838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897960,1.047109,4.029608,1.812995,1.047389,3.952522,1.705563,1.043051,4.010913
40,0.111111,0.025295,-0.017084,-0.004449,0.999524,1.805002,1.046381,3.997682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897967,1.047100,4.029617,1.813022,1.047430,3.952499,1.705347,1.043094,4.010776
41,0.113889,0.024969,-0.017036,-0.004194,0.999534,1.805014,1.046289,3.997693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897979,1.047149,4.029615,1.813060,1.047332,3.952505,1.705664,1.042977,4.010981
42,0.116667,0.020118,-0.017748,-0.002082,0.999638,1.804955,1.046637,3.997713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897993,1.047144,4.029625,1.813013,1.047311,3.952472,1.705599,1.043054,4.010887
43,0.119444,0.026734,-0.017365,-0.003308,0.999486,1.805027,1.046567,3.997787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897993,1.047030,4.029631,1.811948,1.048076,3.952546,1.705674,1.043028,4.010991
44,0.122222,0.019720,-0.018884,-0.001141,0.999627,1.805057,1.046701,3.997968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897976,1.046984,4.029596,1.813049,1.047391,3.952498,1.705677,1.042948,4.010916
45,0.125000,0.022817,-0.017257,-0.003380,0.999585,1.805030,1.046445,3.997689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897997,1.047168,4.029618,1.813002,1.047276,3.952479,1.705679,1.043037,4.010945
46,0.127778,0.025885,-0.017034,-0.004086,0.999512,1.805071,1.046333,3.997731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897979,1.046957,4.029606,1.813070,1.047427,3.952528,1.705722,1.042972,4.011012
47,0.130556,0.027177,-0.017377,-0.003141,0.999475,1.805241,1.046497,3.997859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897992,1.047025,4.029600,1.812163,1.048049,3.952621,1.705889,1.042912,4.011057
48,0.133333,0.021478,-0.018245,-0.000399,0.999603,1.805161,1.046681,3.997849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897950,1.047102,4.029579,1.812160,1.047749,3.952608,1.705804,1.042727,4.010907
49,0.136111,0.017687,-0.017970,-0.000910,0.999682,1.804990,1.046916,3.997792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897983,1.047171,4.029655,1.813016,1.047321,3.952497,1.705637,1.043175,4.010936
50,0.138889,0.019528,-0.017811,-0.001354,0.999650,1.804927,1.046770,3.997762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.897950,1.047130,4.029626,1.813072,1.047430,3.952498,1.705575,1.043062,4.010925
